station,month,n
jardimparaiso,2022-04,8640
jardimparaiso,2022-05,8928
jardimparaiso,2022-06,8640
jardimparaiso,2022-07,8928
jardimparaiso,2022-08,8928
jardimparaiso,2022-09,8640
jardimparaiso,2022-10,8928
jardimparaiso,2022-11,8640
jardimparaiso,2022-12,8928
jardimparaiso,2023-01,8928
jardimparaiso,2023-02,8064
jardimparaiso,2023-03,8928
jardimparaiso,2023-04,8640
jardimparaiso,2023-05,8928
jardimparaiso,2023-06,5365
jardimparaiso,2023-07,6712
jardimparaiso,2023-08,8915
jardimparaiso,2023-09,8640
jardimparaiso,2023-10,8928
jardimparaiso,2023-11,8639
jardimparaiso,2023-12,8928
jardimparaiso,2024-01,8928
jardimparaiso,2024-02,8352
jardimparaiso,2024-03,8928
jardimparaiso,2024-04,8639
jardimparaiso,2024-05,8928
jardimparaiso,2024-06,8640
jardimparaiso,2024-07,8717
jardimparaiso,2025-02,142
jardimparaiso,2025-03,8928
jardimparaiso,2025-04,8461
jardimparaiso,2025-05,3872
jardimparaiso,2025-06,8640
jardimparaiso,2025-07,5020
jardimparaiso,2026-03,5858
jardimparaiso,2026-04,8638
jardimparaiso,2026-05,8915
jardimparaiso,2026-06,8198
jardimparaiso,2026-07,4173
rodovia,2012-04,3573
rodovia,2012-05,8928
rodovia,2012-06,8640
rodovia,2012-07,8928
rodovia,2012-08,8928
rodovia,2012-09,8640
rodovia,2012-10,8916
rodovia,2012-11,8640
rodovia,2012-12,8928
rodovia,2013-01,8928
rodovia,2013-02,8064
rodovia,2013-03,8928
rodovia,2013-04,8640
rodovia,2013-05,8928
rodovia,2013-06,8640
rodovia,2013-07,8927
rodovia,2013-08,8919
rodovia,2013-09,2645
rodovia,2014-06,98
rodovia,2014-07,1
rodovia,2021-08,3453
rodovia,2021-09,8640
rodovia,2021-10,8927
rodovia,2021-11,8640
rodovia,2021-12,8923
rodovia,2022-01,8927
rodovia,2022-02,8052
rodovia,2022-03,8915
rodovia,2022-04,8635
rodovia,2022-05,8917
rodovia,2022-06,7996
rodovia,2022-07,8927
rodovia,2022-08,8447
rodovia,2022-09,8555
rodovia,2022-10,8722
rodovia,2022-11,7473
rodovia,2022-12,6
