date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean,gust_dir,level_max,level_min
2025-05-19,26.4,19.8,99.0,80.0,1201.132,3.4,0.6,21.035625,26.4,19.8,24,21.850347222222222,95.02777777777777,0.138125,50.04716666666667,,,
2025-05-20,30.3,19.0,99.0,64.0,2814.9796666666666,4.5,11.1,21.621041666666667,37.0,19.0,24,23.239652777777778,91.12430555555557,0.19770833333333335,117.29081944444444,,,
2025-05-21,21.3,17.8,99.0,91.0,777.3726666666666,3.4,25.5,19.502916666666668,21.3,17.8,24,19.82777777777778,97.78611111111111,0.12034722222222223,32.39052777777778,,,
2025-05-22,17.9,16.0,99.0,94.0,507.49533333333335,2.2,11.7,16.719513888888887,17.9,16.0,24,16.922638888888887,98.45277777777778,0.09416666666666668,21.14563888888889,,,
2025-05-23,19.2,15.9,99.0,90.0,1056.55,3.4,6.3,16.79986111111111,19.2,15.9,24,17.075694444444444,98.0125,0.07222222222222223,44.02291666666667,,,
2025-05-24,20.3,17.1,99.0,93.0,932.477,3.4,11.1,18.234375,20.3,17.1,24,18.455625,98.35069444444444,0.05388888888888888,38.853208333333335,,,
2025-05-25,27.1,16.6,99.0,61.0,2627.1051666666667,4.5,1.2,19.03893557422969,29.0,16.6,24,20.238663194444445,93.14166666666667,0.15270833333333333,109.46271527777778,,,
2025-05-26,28.3,17.6,99.0,66.0,2930.4933333333333,6.7,0.0,20.036666666666665,31.0,17.6,24,21.729791666666667,90.75138888888888,0.19270833333333334,122.10388888888889,,,
2025-05-27,28.9,17.1,99.0,67.0,2576.5043333333333,3.4,0.0,20.514444444444443,33.0,17.1,24,21.774305555555557,92.92152777777778,0.11930555555555555,107.35434722222222,,,
2025-05-28,23.6,13.7,99.0,68.0,702.9208333333333,6.7,0.3,18.568055555555556,23.6,13.7,24,20.048125,91.25347222222223,0.2920833333333333,29.288368055555555,,,
2025-05-29,22.5,9.1,96.0,42.0,2979.301,7.8,0.0,9.583402777777778,22.5,9.1,24,14.344027777777777,75.35277777777777,0.48430555555555554,124.13754166666666,,,
2025-05-30,22.5,6.6,99.0,49.0,3023.9341666666664,4.5,0.0,10.499027777777778,22.5,6.6,24,13.327361111111111,85.38680555555555,0.19618055555555555,125.99725694444443,,,
2025-05-31,25.4,8.4,99.0,53.0,2919.291333333333,5.6,0.0,13.08576388888889,25.4,8.4,24,15.357013888888888,88.13819444444444,0.19006944444444443,121.63713888888888,,,
2025-06-01,23.8,11.5,99.0,56.0,2209.0436666666665,4.5,0.0,14.410972222222222,23.8,11.5,24,16.580625,87.97916666666667,0.27979166666666666,92.04348611111111,,,
