date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,pressure_mean,solar_mean
2023-05-16,30.29,13.08,92.1,34.87,1935.0,4.088888888888889,22.0,0.0,14.12,17.13,17.13,24.0,20.118333333333332,72.43208333333332,1.3071527777777778,,176.42783333333333
2023-05-17,28.07,14.61,90.7,44.18,1892.0,4.1194444444444445,48.0,0.0,15.95,19.05,19.05,24.0,19.947083333333335,74.99458333333332,1.063726851851852,,156.865
2023-05-18,27.25,15.29,93.3,45.29,1680.0,4.161111111111111,10.0,0.0,14.81,17.34,17.34,24.0,19.638749999999998,76.97416666666668,1.3607291666666665,,169.64874999999998
2023-05-19,27.34,14.62,92.5,50.39,1817.0,4.419444444444444,28.0,0.0,15.04,16.52,16.52,24.0,20.52125,75.325,1.3497916666666665,,175.91937499999997
2023-05-20,26.98,16.5,91.4,51.52,1899.0,5.330555555555556,63.0,0.0,16.38,18.88,18.88,24.0,20.94125,75.40166666666667,1.1907754629629628,,163.11758333333333
2023-05-21,27.35,17.59,90.8,50.43,1729.0,3.969444444444444,45.0,0.0,16.18,17.69,17.69,24.0,20.265416666666667,82.24041666666666,1.1258449074074075,,126.43270833333334
2023-05-22,26.24,15.94,94.6,58.97,1038.0,4.169444444444444,31.0,0.0,17.69,19.26,19.26,24.0,20.54,85.92125,1.0241898148148147,,69.80545833333333
2023-05-23,26.38,17.76,94.9,62.42,333.5,3.838888888888889,229.0,0.0,18.36,19.82,19.82,24.0,22.196250000000003,83.27125,1.184212962962963,,157.939
2023-05-24,29.96,16.95,98.8,53.94,1557.0,3.7194444444444446,247.0,0.0,19.73,21.12,21.12,24.0,22.55666666666667,84.69833333333334,1.0529282407407405,,116.38204166666667
2023-05-25,28.35,19.43,96.1,58.15,990.0,5.0,10.0,0.0,19.36,20.46,20.46,24.0,22.512083333333333,86.57375,1.206423611111111,,109.68266666666666
2023-05-26,29.24,19.13,96.4,60.18,945.0,4.719444444444444,29.0,0.0,20.21,21.64,21.64,24.0,23.37375,83.58083333333333,0.993287037037037,,123.74045833333334
2023-05-27,28.74,19.35,96.0,62.73,1028.0,3.9388888888888887,87.0,0.0,20.88,23.03,23.03,24.0,23.3325,84.32125,1.215011574074074,,115.86908333333334
2023-05-28,30.11,19.86,95.8,59.31,1097.0,5.0,212.0,0.762,20.18,21.21,21.21,24.0,19.068749999999998,91.98333333333333,1.2771527777777778,,19.146666666666665
2023-05-29,21.55,16.72,95.2,80.1,24.88,4.6194444444444445,231.0,9.65,15.81,16.78,16.78,24.0,17.283333333333335,89.66541666666667,1.450023148148148,,33.008041666666664
2023-05-30,20.4,16.37,94.6,67.51,71.37,4.138888888888889,256.0,0.508,15.91,16.99,16.99,24.0,17.96375,92.60000000000001,0.9038541666666666,,48.383874999999996
2023-05-31,20.56,16.41,95.6,81.2,157.4,3.3388888888888886,55.0,1.778,17.16,17.86,17.86,24.0,20.299583333333334,85.67375,1.1533912037037037,,126.95970833333332
2023-06-01,27.47,17.1,96.3,55.74,1185.0,4.3,226.0,0.0,17.39,18.37,18.37,24.0,20.699583333333333,83.88166666666667,1.1211111111111112,,158.58608333333333
2023-06-02,29.15,15.86,96.5,50.16,1578.0,4.269444444444444,230.0,0.0,16.5,17.34,17.34,24.0,20.309583333333332,81.3425,1.179386574074074,,160.82629166666666
2023-06-03,28.16,15.27,95.7,47.08,1612.0,3.6805555555555554,0.0,0.0,16.24,17.36,17.36,24.0,19.842916666666667,81.80208333333333,1.2675462962962962,,162.18929166666666
2023-06-04,28.69,14.35,96.6,46.84,1648.0,4.95,211.0,0.0,15.88,17.69,17.69,24.0,20.55333333333333,82.73708333333333,1.3546759259259258,,158.874875
2023-06-05,30.16,15.04,95.1,49.87,1588.0,4.8388888888888895,215.0,0.508,17.88,18.7,18.7,24.0,20.884583333333335,80.46875,1.0436921296296295,,152.77779166666667
