date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2014-05-14,25.62,12.62,100.0,64.55,0.0,3.1305555555555555,50.0,0.0,16.59,16.59,16.59,24.0,19.65375,93.14916666666666,0.697025462962963,0.0
2014-05-15,23.93,16.36,100.0,73.38,0.0,2.761111111111111,298.0,0.0,19.07,19.17,19.17,24.0,21.15458333333333,91.43166666666667,0.7311226851851852,0.0
2014-05-16,26.53,18.11,100.0,68.68,0.0,3.4194444444444443,89.0,0.0,19.84,19.84,19.84,24.0,20.88,86.47166666666668,1.2873842592592593,0.0
2014-05-17,25.38,17.95,100.0,60.05,0.0,5.219444444444444,88.0,0.0,18.12,18.91,18.91,24.0,19.801666666666666,88.06541666666668,0.8882986111111112,0.0
2014-05-18,26.45,15.06,100.0,58.75,0.0,3.9805555555555556,62.0,0.0,16.16,16.16,16.16,24.0,19.858333333333334,87.72166666666668,0.8743518518518519,0.0
2014-05-19,27.76,13.73,100.0,58.64,0.0,4.788888888888889,288.0,0.0,18.81,19.74,19.74,24.0,20.56416666666667,88.245,0.7052083333333333,0.0
2014-05-20,25.13,15.73,100.0,66.68,0.0,3.861111111111111,74.0,0.0,18.53,18.93,18.93,24.0,20.577916666666667,90.75166666666667,0.7199884259259259,0.0
2014-05-21,25.87,16.53,100.0,66.2,0.0,3.3388888888888886,220.0,0.0,19.45,19.8,19.8,24.0,21.313333333333333,90.2675,0.9759375,0.0
2014-05-22,26.41,17.91,100.0,64.75,0.0,4.311111111111111,37.0,0.0,19.61,19.67,19.67,24.0,20.531666666666666,97.00833333333333,0.8803935185185185,0.0
2014-05-23,23.99,19.09,100.0,82.9,0.0,4.019444444444445,141.0,10.29,20.22,20.3,20.3,24.0,16.569583333333334,98.19166666666666,1.3799074074074074,0.0
2014-05-24,20.46,12.36,100.0,93.3,0.0,4.188888888888889,41.0,37.03,13.21,13.21,13.21,24.0,14.558333333333332,92.825,1.0759027777777777,0.0
2014-05-25,18.47,12.58,100.0,72.0,0.0,4.3999999999999995,79.0,0.457,13.22,14.24,14.24,24.0,15.291666666666666,94.25708333333334,0.7055324074074073,0.0
2014-05-26,18.63,13.97,100.0,71.76,0.0,2.388888888888889,220.0,10.29,14.8,14.8,14.8,24.0,18.1475,85.49708333333332,1.2969907407407408,0.0
2014-05-27,23.85,14.73,100.0,53.92,0.0,7.419444444444444,223.0,25.98,16.14,16.53,16.53,24.0,17.376666666666665,90.93041666666666,0.7361574074074074,0.0
2014-05-28,21.02,15.27,99.5,66.59,0.0,2.5111111111111106,265.0,0.0,15.81,16.38,16.38,24.0,17.599166666666665,88.14291666666666,0.7715393518518519,0.0
2014-05-29,21.56,15.2,99.4,64.46,0.0,3.730555555555555,131.0,0.0,15.2,15.96,15.96,24.0,16.120416666666667,88.56291666666665,0.723900462962963,0.0
2014-05-30,22.69,12.17,100.0,54.29,0.0,4.430555555555555,82.0,0.0,14.32,14.38,14.38,24.0,16.65625,91.2325,0.8046643518518518,0.0
2014-05-31,23.37,11.94,100.0,66.01,0.0,4.8805555555555555,60.0,0.0,12.9,12.9,12.9,24.0,15.055416666666666,98.66250000000001,0.6505092592592593,0.0
2014-06-01,18.8,11.59,100.0,87.9,0.0,3.0388888888888888,275.0,11.66,16.33,16.33,16.33,24.0,19.216666666666665,87.05958333333332,0.9722569444444443,0.0
2014-06-02,27.51,14.11,100.0,40.17,0.0,6.511111111111111,310.0,0.0,14.53,14.53,14.53,24.0,15.358333333333334,74.05,1.638784722222222,0.0
2014-06-03,22.0,7.046,100.0,43.4,0.0,8.669444444444444,256.0,0.0,7.118,7.118,7.118,24.0,11.610916666666666,83.52041666666666,0.6475,0.0
2014-06-04,22.67,3.734,100.0,36.16,0.0,3.1305555555555555,87.0,0.0,6.5,6.5,6.5,24.0,11.935916666666666,87.87833333333333,0.8006018518518517,0.0
2014-06-05,22.41,4.472,100.0,50.02,0.0,4.830555555555556,80.0,0.0,10.22,10.22,10.22,24.0,15.6025,93.73166666666667,0.8342476851851851,0.0
2014-06-06,22.03,10.01,100.0,72.82,0.0,5.5888888888888895,338.0,10.52,17.39,17.48,17.48,24.0,18.5525,97.05833333333334,0.9699652777777777,0.0
2014-06-07,24.66,17.17,100.0,79.39,0.0,4.680555555555556,232.0,77.72,17.19,17.19,17.19,24.0,17.714583333333334,100.0,1.0118402777777777,0.0
2014-06-08,19.25,17.01,100.0,99.9,0.0,12.769444444444444,272.0,120.3,18.74,18.74,18.74,24.0,18.547083333333333,99.3125,1.145636574074074,0.0
2014-06-09,20.38,17.84,100.0,89.6,0.0,6.8,227.0,69.42,17.97,17.97,17.97,24.0,16.934166666666666,97.53750000000001,0.9289351851851851,0.0
2014-06-10,18.6,15.33,100.0,87.9,0.0,3.5805555555555557,41.0,3.429,15.36,15.36,15.36,24.0,17.145833333333332,92.86541666666666,0.8356712962962963,0.0
2014-06-11,21.53,13.84,100.0,68.39,0.0,3.819444444444444,79.0,0.0,16.63,16.76,16.76,24.0,18.135,95.48333333333333,0.7251041666666667,0.0
