date,code,station,temp,umid,ws,wd,prec
2020-10-11 09:00:00,aeroporto,Aeroporto SBJV,20.0,68.35,1.54224407688869,250.0,
2020-10-11 10:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 11:00:00,aeroporto,Aeroporto SBJV,22.0,56.63,1.02816271792579,180.0,
2020-10-11 12:00:00,aeroporto,Aeroporto SBJV,23.0,56.88,4.11265087170317,110.0,
2020-10-11 13:00:00,aeroporto,Aeroporto SBJV,23.0,53.29,5.14081358962897,120.0,
2020-10-11 14:00:00,aeroporto,Aeroporto SBJV,23.0,56.88,5.14081358962897,110.0,
2020-10-11 15:00:00,aeroporto,Aeroporto SBJV,23.0,56.88,3.59856951274028,50.0,
2020-10-11 16:00:00,aeroporto,Aeroporto SBJV,23.0,56.88,4.62673223066607,60.0,
2020-10-11 17:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 18:00:00,aeroporto,Aeroporto SBJV,20.0,68.35,3.08448815377738,50.0,
2020-10-11 19:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 20:00:00,aeroporto,Aeroporto SBJV,20.0,72.92,2.57040679481448,20.0,
2020-10-11 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 22:00:00,aeroporto,Aeroporto SBJV,19.0,82.74,1.02816271792579,350.0,
2020-10-11 23:00:00,aeroporto,Aeroporto SBJV,19.0,82.74,1.54224407688869,300.0,
2020-10-12 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 06:00:00,aeroporto,Aeroporto SBJV,15.0,93.74,1.54224407688869,350.0,
2020-10-12 07:00:00,aeroporto,Aeroporto SBJV,16.0,93.79,0.514081358962897,320.0,
2020-10-12 08:00:00,aeroporto,Aeroporto SBJV,19.0,82.74,0.0,0.0,
2020-10-12 09:00:00,aeroporto,Aeroporto SBJV,22.0,68.75,1.54224407688869,260.0,
2020-10-12 10:00:00,aeroporto,Aeroporto SBJV,23.0,60.67,2.57040679481448,360.0,
2020-10-12 11:00:00,aeroporto,Aeroporto SBJV,25.0,57.36,3.08448815377738,100.0,
2020-10-12 12:00:00,aeroporto,Aeroporto SBJV,25.0,57.36,3.59856951274028,70.0,
2020-10-12 13:00:00,aeroporto,Aeroporto SBJV,26.0,54.05,5.14081358962897,60.0,
2020-10-12 14:00:00,aeroporto,Aeroporto SBJV,26.0,50.69,4.62673223066607,70.0,
2020-10-12 15:00:00,aeroporto,Aeroporto SBJV,26.0,57.6,4.11265087170317,50.0,
2020-10-12 16:00:00,aeroporto,Aeroporto SBJV,25.0,61.13,4.11265087170317,50.0,
2020-10-12 17:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 18:00:00,aeroporto,Aeroporto SBJV,23.0,53.29,4.11265087170317,30.0,
2020-10-12 19:00:00,aeroporto,Aeroporto SBJV,21.0,68.55,2.57040679481448,10.0,
2020-10-12 20:00:00,aeroporto,Aeroporto SBJV,21.0,77.9,2.57040679481448,10.0,
2020-10-12 21:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-12 22:00:00,aeroporto,Aeroporto SBJV,18.0,88.09,1.02816271792579,310.0,
2020-10-12 23:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,2.05632543585159,270.0,
2020-10-13 00:00:00,aeroporto,Aeroporto SBJV,,,,,
