date,gauge,rain_mm
2023-02-07,aventureiro,0.0
2023-02-09,aventureiro,0.0
2023-02-10,aventureiro,0.0
2023-02-11,aventureiro,0.0
2023-02-13,aventureiro,0.0
2023-02-14,aventureiro,0.0
2023-02-15,aventureiro,0.0
2023-02-16,aventureiro,0.0
2023-02-17,aventureiro,0.0
2023-02-18,aventureiro,0.0
2023-02-19,aventureiro,0.0
2023-02-20,aventureiro,0.0
2023-02-21,aventureiro,0.0
2023-02-22,aventureiro,0.0
2023-02-23,aventureiro,0.0
2023-02-24,aventureiro,0.0
2023-02-25,aventureiro,0.0
2023-02-26,aventureiro,0.0
2023-02-27,aventureiro,0.0
2023-02-28,aventureiro,0.0
2023-03-01,aventureiro,0.0
2023-03-02,aventureiro,0.0
2023-03-03,aventureiro,0.0
2023-03-04,aventureiro,0.0
2023-03-05,aventureiro,0.0
2023-03-06,aventureiro,0.0
2023-03-07,aventureiro,0.0
2023-03-08,aventureiro,0.0
2023-03-09,aventureiro,0.0
2023-03-10,aventureiro,0.0
2023-03-11,aventureiro,0.0
2023-03-12,aventureiro,0.0
2023-03-13,aventureiro,0.0
2023-03-14,aventureiro,0.0
2023-03-15,aventureiro,0.0
2023-03-16,aventureiro,0.0
2023-03-17,aventureiro,0.0
2023-03-18,aventureiro,0.0
2023-03-19,aventureiro,0.0
2023-03-24,aventureiro,0.0
2023-03-27,aventureiro,0.0
2023-03-28,aventureiro,0.0
2023-04-06,aventureiro,0.0
2023-04-07,aventureiro,0.0
2023-04-08,aventureiro,0.0
2023-04-09,aventureiro,0.0
2023-04-10,aventureiro,0.0
2023-04-11,aventureiro,0.0
2023-04-14,aventureiro,0.0
2023-04-15,aventureiro,0.0
2023-04-16,aventureiro,0.0
2023-04-17,aventureiro,0.0
2023-04-18,aventureiro,0.0
2023-04-19,aventureiro,0.0
2023-04-20,aventureiro,0.0
2023-04-22,aventureiro,0.0
2023-04-23,aventureiro,0.0
2023-04-24,aventureiro,0.0
2023-04-25,aventureiro,0.0
2023-04-26,aventureiro,0.0
2023-04-27,aventureiro,0.0
2023-04-28,aventureiro,0.0
2023-04-29,aventureiro,0.0
2023-04-30,aventureiro,0.0
2023-05-08,aventureiro,0.0
2023-05-28,aventureiro,0.0
2023-05-29,aventureiro,0.0
2023-05-30,aventureiro,0.0
2023-05-31,aventureiro,0.0
2023-06-12,aventureiro,0.0
2023-06-13,aventureiro,0.0
2023-06-14,aventureiro,0.0
2023-06-15,aventureiro,0.0
2023-06-16,aventureiro,0.0
2023-06-18,aventureiro,0.0
